time,open,high,low,close
2023-08-23 11:00:00,1178.23,1178.75,1174.89,1176.14
2023-08-23 13:00:00,1175.27,1181.24,1168.89,1173.1
2023-08-23 14:00:00,1172.88,1179.04,1169.79,1172.56
2023-08-24 09:00:00,1172.56,1177.86,1171.33,1174.49
2023-08-24 10:00:00,1174.29,1180.57,1174.09,1179.91
2023-08-24 11:00:00,1179.88,1180.3,1176.22,1177.12
2023-08-24 13:00:00,1176.46,1185.93,1175.42,1185.67
2023-08-24 14:00:00,1185.35,1189.99,1184.3,1189.39
2023-08-25 09:00:00,1189.39,1192.59,1185.66,1190.59
2023-08-25 10:00:00,1190.6,1191.35,1184.26,1186.65
2023-08-25 11:00:00,1186.74,1187.01,1182.6,1182.8
2023-08-25 13:00:00,1181.91,1188.41,1181.6,1184.2
2023-08-25 14:00:00,1184.49,1186.49,1183.04,1183.37
2023-08-28 09:00:00,1183.37,1194.99,1183.37,1193.4
2023-08-28 10:00:00,1193.3,1195.91,1190.4,1195.5
2023-08-28 11:00:00,1195.46,1195.57,1192.76,1194.01
2023-08-28 13:00:00,1193.94,1197.11,1192.16,1196.07
2023-08-28 14:00:00,1196.11,1202.02,1196.09,1201.72
2023-08-29 09:00:00,1201.72,1208.78,1201.72,1207.45
2023-08-29 10:00:00,1207.46,1207.57,1201.97,1202.38
2023-08-29 11:00:00,1202.51,1202.79,1199.14,1199.6
2023-08-29 13:00:00,1198.93,1204.02,1197.57,1201.62
2023-08-29 14:00:00,1201.45,1206.19,1201.19,1204.43
2023-08-30 09:00:00,1206.1,1209.31,1204.5,1206.11
2023-08-30 10:00:00,1206.18,1209.98,1205.24,1208.83
2023-08-30 11:00:00,1208.85,1209.58,1205.41,1205.66
2023-08-30 13:00:00,1204.62,1210.63,1203.51,1210.45
2023-08-30 14:00:00,1210.46,1213.52,1209.04,1213.16
2023-08-31 09:00:00,1213.16,1220.94,1213.16,1220.67
2023-08-31 10:00:00,1220.73,1223.41,1219.64,1222.72
2023-08-31 11:00:00,1222.95,1222.95,1220.96,1222.34
2023-08-31 13:00:00,1221.67,1224.84,1220.42,1222.96
2023-08-31 14:00:00,1222.69,1224.53,1220.88,1224.05
2023-09-05 09:00:00,1224.05,1234.54,1224.05,1233.36
2023-09-05 10:00:00,1233.52,1236.21,1231.84,1234.77
2023-09-05 11:00:00,1234.97,1235.03,1233.37,1233.48
2023-09-05 13:00:00,1232.97,1235.69,1231.14,1233.16
2023-09-05 14:00:00,1233.22,1234.98,1228.7,1234.98
2023-09-06 09:00:00,1234.98,1237.42,1229.89,1236.44
2023-09-06 10:00:00,1236.43,1239.44,1235.52,1236.34
2023-09-06 11:00:00,1236.29,1236.29,1231.54,1231.96
2023-09-06 13:00:00,1231.18,1236.77,1230.56,1236.43
2023-09-06 14:00:00,1236.34,1245.5,1236.34,1245.5
2023-09-07 09:00:00,1245.5,1252.78,1245.5,1251.34
2023-09-07 10:00:00,1251.52,1255.11,1247.42,1248.18
2023-09-07 11:00:00,1248.17,1248.57,1244.49,1244.85
2023-09-07 13:00:00,1244.0,1248.14,1241.19,1244.52
2023-09-07 14:00:00,1244.68,1245.22,1240.82,1243.14
2023-09-08 09:00:00,1243.14,1245.96,1240.15,1245.96
2023-09-08 10:00:00,1245.86,1248.1,1243.8,1245.47
2023-09-08 11:00:00,1245.33,1246.83,1245.1,1245.56
2023-09-08 13:00:00,1245.46,1247.09,1242.08,1244.02
2023-09-08 14:00:00,1244.05,1245.57,1240.28,1241.48
2023-09-11 09:00:00,1241.48,1251.37,1241.48,1247.64
2023-09-11 10:00:00,1247.55,1247.91,1244.69,1245.88
2023-09-11 11:00:00,1245.79,1245.86,1241.74,1243.08
2023-09-11 13:00:00,1242.77,1243.43,1232.93,1235.91
2023-09-11 14:00:00,1235.95,1236.02,1223.33,1223.63
2023-09-12 09:00:00,1223.63,1228.86,1220.85,1225.54
2023-09-12 10:00:00,1225.34,1232.29,1225.16,1232.19
2023-09-12 11:00:00,1232.25,1233.75,1228.82,1229.24
2023-09-12 13:00:00,1229.2,1234.16,1226.8,1234.11
2023-09-12 14:00:00,1234.09,1245.44,1234.04,1245.44
2023-09-13 09:00:00,1245.44,1250.25,1245.04,1248.18
2023-09-13 10:00:00,1248.32,1248.33,1241.57,1245.64
2023-09-13 11:00:00,1245.56,1248.92,1245.44,1247.02
2023-09-13 13:00:00,1246.71,1250.61,1243.11,1246.48
2023-09-13 14:00:00,1246.4,1246.4,1232.84,1238.39
2023-09-14 09:00:00,1238.39,1244.21,1235.44,1240.27
2023-09-14 10:00:00,1240.37,1240.86,1231.4,1235.55
2023-09-14 11:00:00,1235.51,1235.52,1232.05,1232.22
2023-09-14 13:00:00,1231.55,1233.1,1223.32,1228.29
2023-09-14 14:00:00,1228.34,1235.31,1223.03,1223.81
2023-09-15 09:00:00,1223.81,1233.87,1223.81,1233.56
2023-09-15 10:00:00,1233.6,1233.83,1224.77,1224.89
2023-09-15 11:00:00,1224.97,1225.05,1220.89,1223.41
2023-09-15 13:00:00,1222.88,1228.66,1220.27,1228.52
2023-09-15 14:00:00,1228.46,1231.49,1224.61,1227.36
2023-09-18 09:00:00,1227.36,1227.36,1218.49,1220.26
2023-09-18 10:00:00,1220.3,1221.02,1216.99,1218.41
2023-09-18 11:00:00,1218.43,1219.54,1214.43,1214.61
2023-09-18 13:00:00,1214.26,1217.2,1210.65,1212.98
2023-09-18 14:00:00,1212.97,1214.54,1203.88,1211.81
2023-09-19 09:00:00,1211.81,1219.57,1211.81,1213.02
2023-09-19 10:00:00,1212.97,1213.06,1204.72,1204.83
2023-09-19 11:00:00,1204.89,1205.38,1199.85,1205.38
2023-09-19 13:00:00,1204.23,1212.62,1201.83,1206.58
2023-09-19 14:00:00,1206.36,1212.36,1200.42,1211.5
2023-09-20 09:00:00,1211.5,1217.21,1209.46,1215.38
2023-09-20 10:00:00,1215.39,1218.09,1213.13,1216.55
2023-09-20 11:00:00,1216.38,1217.16,1216.3,1217.11
2023-09-20 13:00:00,1216.88,1221.87,1216.67,1220.46
2023-09-20 14:00:00,1220.25,1226.11,1219.64,1226.11
2023-09-21 09:00:00,1226.11,1227.88,1223.92,1224.5
2023-09-21 10:00:00,1224.77,1224.96,1220.23,1220.54
2023-09-21 11:00:00,1220.65,1222.32,1219.89,1220.08
2023-09-21 13:00:00,1219.68,1221.88,1216.26,1218.86
2023-09-21 14:00:00,1218.85,1218.85,1211.65,1212.74
2023-09-22 09:00:00,1212.74,1212.74,1191.52,1196.1
2023-09-22 10:00:00,1195.62,1196.0,1174.57,1176.26
2023-09-22 11:00:00,1176.13,1183.23,1175.83,1179.93
2023-09-22 13:00:00,1179.23,1194.38,1177.66,1193.84
2023-09-22 14:00:00,1193.69,1198.61,1189.01,1193.05
2023-09-25 09:00:00,1193.05,1193.29,1186.5,1190.15
2023-09-25 10:00:00,1190.14,1195.62,1188.76,1192.11
2023-09-25 11:00:00,1192.13,1192.83,1191.42,1191.98
2023-09-25 13:00:00,1191.25,1191.55,1176.73,1179.79
2023-09-25 14:00:00,1179.86,1179.86,1153.2,1153.2
2023-09-26 09:00:00,1153.2,1159.36,1145.9,1149.02
2023-09-26 10:00:00,1148.74,1161.4,1148.08,1154.19
2023-09-26 11:00:00,1154.23,1156.03,1145.05,1145.23
2023-09-26 13:00:00,1144.92,1158.74,1141.99,1158.73
2023-09-26 14:00:00,1158.69,1163.52,1137.96,1137.96
2023-09-27 09:00:00,1137.96,1143.12,1135.1,1135.24
2023-09-27 10:00:00,1135.09,1137.05,1132.1,1134.44
2023-09-27 11:00:00,1134.39,1134.71,1126.36,1131.02
2023-09-27 13:00:00,1130.25,1139.87,1129.94,1136.3
2023-09-27 14:00:00,1136.34,1153.85,1136.26,1153.85
2023-09-28 09:00:00,1153.85,1153.87,1147.32,1148.88
2023-09-28 10:00:00,1148.85,1149.22,1136.99,1141.7
2023-09-28 11:00:00,1141.81,1143.62,1138.84,1142.19
2023-09-28 13:00:00,1141.67,1151.19,1137.73,1149.85
2023-09-28 14:00:00,1149.89,1155.39,1143.38,1152.43
2023-09-29 09:00:00,1152.43,1162.65,1152.43,1160.61
2023-09-29 10:00:00,1160.44,1163.88,1157.05,1159.32
2023-09-29 11:00:00,1159.28,1159.69,1156.39,1156.93
2023-09-29 13:00:00,1156.56,1158.53,1152.45,1156.42
2023-09-29 14:00:00,1156.53,1159.28,1154.01,1154.15
2023-10-02 09:00:00,1154.15,1156.54,1149.63,1156.54
2023-10-02 10:00:00,1156.61,1160.32,1156.61,1157.66
2023-10-02 11:00:00,1157.71,1159.31,1157.45,1159.26
2023-10-02 13:00:00,1158.93,1161.48,1151.99,1153.9
2023-10-02 14:00:00,1154.03,1156.71,1152.32,1155.25
2023-10-03 09:00:00,1155.25,1155.25,1133.34,1138.56
2023-10-03 10:00:00,1138.59,1142.82,1131.32,1131.32
2023-10-03 11:00:00,1131.37,1133.73,1123.39,1126.51
2023-10-03 13:00:00,1125.1,1132.38,1117.58,1129.68
2023-10-03 14:00:00,1129.64,1129.64,1117.28,1118.1
2023-10-04 09:00:00,1118.1,1118.1,1106.4,1113.19
2023-10-04 10:00:00,1113.06,1122.9,1112.41,1120.14
2023-10-04 11:00:00,1120.04,1124.26,1117.64,1123.94
2023-10-04 13:00:00,1123.82,1129.13,1121.41,1128.95
2023-10-04 14:00:00,1129.12,1133.79,1127.13,1128.67
2023-10-05 09:00:00,1128.67,1133.12,1126.86,1130.11
2023-10-05 10:00:00,1130.23,1130.45,1123.22,1126.52
2023-10-05 11:00:00,1126.51,1127.05,1125.89,1126.3
2023-10-05 13:00:00,1126.15,1127.05,1121.69,1123.03
2023-10-05 14:00:00,1123.09,1123.53,1113.89,1113.89
2023-10-06 09:00:00,1113.89,1116.79,1108.85,1116.53
2023-10-06 10:00:00,1116.37,1116.66,1110.74,1112.28
2023-10-06 11:00:00,1112.41,1113.1,1107.4,1110.37
2023-10-06 13:00:00,1109.99,1118.59,1108.99,1115.98
2023-10-06 14:00:00,1115.92,1129.13,1115.92,1128.54
2023-10-09 09:00:00,1128.54,1133.6,1127.03,1130.6
2023-10-09 10:00:00,1130.63,1135.37,1130.17,1131.86
2023-10-09 11:00:00,1131.99,1133.4,1131.02,1132.41
2023-10-09 13:00:00,1132.24,1134.32,1128.81,1131.75
2023-10-09 14:00:00,1131.84,1137.36,1131.77,1137.36
2023-10-10 09:00:00,1137.36,1149.7,1137.36,1146.92
2023-10-10 10:00:00,1146.84,1150.34,1146.45,1149.83
2023-10-10 11:00:00,1149.85,1149.9,1148.0,1148.18
2023-10-10 13:00:00,1147.86,1147.86,1143.78,1145.18
2023-10-10 14:00:00,1145.1,1146.72,1141.97,1143.69
2023-10-11 09:00:00,1143.69,1147.24,1142.39,1145.13
2023-10-11 10:00:00,1145.11,1145.73,1142.59,1142.89
2023-10-11 11:00:00,1143.46,1144.07,1139.99,1140.48
2023-10-11 13:00:00,1139.93,1145.0,1138.22,1143.01
2023-10-11 14:00:00,1143.03,1150.81,1143.03,1150.81
2023-10-12 09:00:00,1150.81,1156.73,1150.81,1154.75
2023-10-12 10:00:00,1154.92,1155.74,1151.78,1154.68
2023-10-12 11:00:00,1154.72,1155.95,1154.52,1154.83
2023-10-12 13:00:00,1154.2,1156.02,1149.65,1152.59
2023-10-12 14:00:00,1152.68,1153.45,1148.11,1151.61
2023-10-13 09:00:00,1151.61,1151.61,1143.65,1147.46
2023-10-13 10:00:00,1147.19,1147.97,1143.84,1146.06
2023-10-13 11:00:00,1145.92,1146.05,1141.82,1142.19
2023-10-13 13:00:00,1141.2,1144.64,1138.99,1144.24
2023-10-13 14:00:00,1144.21,1155.1,1144.21,1154.73
2023-10-16 09:00:00,1154.73,1157.46,1152.67,1153.94
2023-10-16 10:00:00,1153.84,1154.04,1148.18,1150.71
